,name,text
0,Mike Pizza,I have 2 cats that I love more than anything in this world. But this still made me tear up. Pets are an amazing thing. RIP Otis @notthefakeSVP https://t.co/SwslLApRae
1,Andromeda Yelton,"RT @annie_hollister: Hey @JortsTheCat, while you're here, can you help my bonded Jorts &amp; Jean foster merch find a home in the DC area?  Loo…"
2,ariera,RT @pet_home_help: 「片目盲目だけど超絶甘えん坊4.5ヶ月」愛知県 - 猫の里親募集情報(410289) :: ペットのおうち https://t.co/KIf2u9uAZJ
3,Perrinui,RT @okashiwa_2: @oso234561 I draw it! All cats are totally AMAZING😃❤️😃 https://t.co/I8cTr1ZhME
4,Bonnie Burns Price,"RT @Nicoleisbrave: @buitengebieden A friendly reminder: although pandas are cute, and they really are, if you come across one in the wild,…"
5,Gav,"RT @elonmusk: @Cbiggs90 @Tesla @Teslarati @JaneidyEve The car knows that something is there, just doesn’t know that they’re horses yet, but…"
6,Willow’s Illustrations,"RT @calambresNFTs: Some serious cats from 0.01 eth
:-)
https://t.co/SrRP0nPGkx https://t.co/pHwEkCNdjq"
7,DaisiesDad,"RT @UNCENS0REDusa: Netflix has a documentary called “Don’t Fuck with cats”. 

They need to make a documentary called “Don't Fuck with Child…"
8,cocoromati_lf,"RT @arare_15ncha: 本日2回目のうちの子記念日💕😍💕
そこで。。。

❤️❤️GWうちの子記念日企画❤️❤️
うちの子になった１週間以内の未公開映像をGW中UPするぞ〜‼️

我が家に来た日に、こんな可愛い寝顔を見せてくれまちた💕癒される😍

#お留守番カメラ…"
9,Wangi Lebaran,RT @BabyCatcoinBSC: Baby Cats looking quite nice on @TrustWallet today 🟢🟢🟢🟢🟢green wall activated 🟢🟢🟢🟢🟢  #Babycatarmy #babycatcoin #babycats…
10,Justsomeguy,"@marcuslemonis My own cat rescue/cafe. I love food, and I love cats and with a good foundation, I could make it amazing. Still working to get there myself, but have to get us a home first."
11,R. ✘,So many cats ending up on seulgi's IG 🥹🤧 soooo cute https://t.co/8GB5fefGSh
12,Peter C. Bradbury,"RT @Sandra_Cox: Odin Cats
https://t.co/n2LHUXw78G
https://t.co/sq864MI5ti  (B&amp;N)

Man has destroyed the earth with his constant desire to e…"
13,klaus 🐻🏴‍☠️,all i remember is cats
14,doug elder,"RT @Japanese_BAPES: Smelly Cats x JBAS Collab Giveaway!😻

We are dropping: 
- 5 WL spots at Smelly Cats
- 5 WL spots at JBAS

To enter:
- R…"
15,𝐊𝐈𝐍𝐆 𝐂𝐀𝐋𝐈𝐂𝐎 𝙩𝙝𝙚 𝙘𝙪𝙘𝙠 𝙠𝙞𝙡𝙡𝙚𝙧,"Orange boy cats &gt;&gt;&gt; 

Reply below with a picture of an orange boy cat if you own one"
16,Jonathan Zack,"@KaitlinWitcher Cats know pressure points.

I know this all too well..."
17,Vidan Taki,"RT @Geovohm: ""Spending time watching cats brightens your day!""
                      ~ Geo 🐾🐾 https://t.co/wr1iCS0HLX"
18,𝙟𝙪𝙙𝙮 ㅡ Glitch Mode👾,อยากทำเสื้อสกรีนลูอีลีออน กะประโยคที่เตนล์เคยพูดว่า oh by the way my cats they not fat they just big(est)  รูปนี้😭🥺 https://t.co/LyvSBcPDRL
19,💤,i am sorrounded by cats https://t.co/LViEk3gXep
20,— j o y 𖧷,RT @flapfloopdoop: wonwoo in cats&amp;soup https://t.co/KCvnBvtAti
21,SaskLass,"RT @YcaRick: 🎵 When I was young, and in my prime. I watched the news most all the time. Now that I'm older, and turning grey. I wouldn't wa…"
22,opnastri,"RT @SmellyCats_Nft: ⛩ JBAS x Smelly Cats Collab Giveaway!😻

We are dropping: 
- 5 WL spots at Smelly Cats🧧
- 5 WL spots at JBAS🌸

To enter:…"
23,Kenny Lacy,RT @ACSPhysics: ACS Golf traveled to Dolgeville Cats won 192-266 at Par 37 Hopson Hills.  Jorden Rivette led Cats with a 44. David Kelsey 4…
24,Jan Eaton 💙,"RT @OutwoodsCat: The little people and their teachers are outside playing in the sunshine. It's a beautiful day. 
I've had a fishfinger san…"
25,スコンブ3rd,RT @okashiwa_2: @oso234561 I draw it! All cats are totally AMAZING😃❤️😃 https://t.co/I8cTr1ZhME
26,Matthew Silbernagel,"RT @wonderofscience: Two lynx cats in Ontario having an intense conversation. 😾‍🔊

Credit: Nicole Lewis 
https://t.co/RgAmZHk438"
27,⚾️🐶MLBpets🐱⚾️,"RT @SoftSide1: Listen up, twitter. Blue Ivy at @AWLAArlington needs you. She was adopted, but returned when cancer was found in her leg. Th…"
28,Kathleen Burke,"RT @Andrea56822453: ❤️Happy #CatsnoirFriday friends!  Love Badger❤️
#CatsOfTwitter #cats #friyay #CaturdayEve #Caturday https://t.co/ei1KOq…"
29,เทพบุตรจากดาวพลูโต💫✨,RT @quelmdn: everytime i see a 'two kinds of cats' tweet on the tl https://t.co/8ViNXpGDXj
30,SilverbudCAT,"@Catcoinbsc Tesla recognizes Catcoin as the future.  #Catcoin #catcoinbsc $CATS
Meooooooooow https://t.co/fAPPcchMlg"
31,kahi’s wife (real),RT @YoukuOfficial: #GreatDanceCrew Has any scene in GDC reminded you of some memes? Let me set the ball rolling. Do #CaiYubing and #JY #Guo…
32,prentis,"RT @SmellyCats_Nft: ⛩ JBAS x Smelly Cats Collab Giveaway!😻

We are dropping: 
- 5 WL spots at Smelly Cats🧧
- 5 WL spots at JBAS🌸

To enter:…"
33,Johan,@Cryptowolfchat @SweepstakerCoin The traditional gaming experience and DeFi features to NFT collectibles &amp; gaming.Will there be customizable features within the game like being able to determine the skin color of our cats &amp; other genetic makeup?
34,𝐢𝐤𝐚 𝐤𝐢𝐧𝐝𝐚 𝐢𝐚,@convomf cats&amp;soup doang wkwk
35,gay ptide 🏳️‍🌈,RT @elle_moonchild7: I’ve seen 500 ‘cats always land on their feet’ tweets already and I will like every single one https://t.co/JLc4QLVoCX
36,Jelly🥀🖤🥀🖤,"RT @AdoptionsUk: Please retweet to help Jimmy and Buster find a home together #KENT #ENGLAND 
Brothers ages 1 and 2, they can live with old…"
37,Crypto Hodler,"@CryptoThro $CATS the next #SHIB 
#CatCoin #CatCoinBSC #CatCoinArmy 
#Memecoin #CryptoGems #BSCGems 
https://t.co/XDvJHwtwuO"
38,♕ кαтѕυнιяσ ♕™ 𝕄ℂ𝕄𝕃𝕏𝕏,"RT @officia86839977: 最後まで笑わずに見れたら貴方の勝ち…

#ジオラマ食堂定休日
#cats https://t.co/9eMisVSKtK"
39,🐈🐾りめあた🐈🐾,RT @mamachan_chibi: 挟まれちゃった　#猫好き　#可愛い　#猫好きさんと繋がりたい　#cats https://t.co/Jhaw0sKZeX
40,10BladeES (0479.eth | fearthis.eth),"RT @mfhornjr: Lots of clones… only 3,000 Gutter Cats @GutterCatGang"
41,Wave Ninja,"@NFTsAreNice oh no bby wut is u doin

but seriously, cats can't go 12 hours without catching a stray 💀"
42,B Blaze,@Dregs_One Hell yea!! Classic track from 2 rap cats!!
43,berry ❤️‍🔥❤️‍🔥,"RT @etherealjunhoee: I stan kpop specifically iKON but I still have time with my family, play with my cats, time for studies and still have…"
44,Jack Roseans,@elonmusk @Cbiggs90 @Tesla @Teslarati @JaneidyEve Meeeoowwwnnnn @elonmusk @Catcoinbsc @CatCoin_Army #cats #cat #Catcoin #catcoinbsc #dogs #Catcoin_V2 #catcoinarmy #CATCOINMEME123 @bpmcrypto @acostiofficial @Indoex_LTD https://t.co/OLLfpzy3P7
45,zainab⁷,"RT @Nikkityknack76: Proof that cats always land on their feet 
#ThatThat 
#ThatThatFeatSUGA https://t.co/1bT0kkH6Du"
46,Dangrdafne,"Bookended By Cats:  Friday 80s Flashback for April 29, 2022 https://t.co/rG799ZUxNn https://t.co/HEJf38hrS0"
47,Shama,RT @Theonefamily77: The fighter. This lovely stray cat we called it 'Ginger'. Always start the first move to fight with stray dogs and othe…
48,Dick Hurkman,@SrMJMiller Cats are funny
49,iane.,RT @flapfloopdoop: wonwoo in cats&amp;soup https://t.co/KCvnBvtAti
50,Paige Fiedler,"RT @OhNoSheTwitnt: “When we were younger, we watched cartoons about a French skunk who raped female cats which was totally fine because he…"
51,orbi,"RT @SmellyCats_Nft: ⛩ JBAS x Smelly Cats Collab Giveaway!😻

We are dropping: 
- 5 WL spots at Smelly Cats🧧
- 5 WL spots at JBAS🌸

To enter:…"
52,Harmony & BEEGEE,RT @EvieFreddie: Apparently ‘get your head out of the toaster’ isn’t a phrase mum thought she’d ever use 😹😹 #FridayVibes #cats #CatsOfTwitt…
53,❤️‍🔥Lacey J❤️‍🔥,RT @weird_sci: Cats generally prefer classical music to pop music.
54,Ryan D.wight’s biggest flan of Ukraine🌻🇺🇦,@UberFacts Cats or dogs? https://t.co/tYk07gt0xN
55,Spaz Cat,"RT @LOL_cats: Meet The Newly Adopted Faces Of The Week (April 21, 2022) #LOLcat #cats #LOLcats #cat https://t.co/PNuJ4ck8Em"
56,Stevie Blum 🇺🇦🌻,"RT @OhNoSheTwitnt: “When we were younger, we watched cartoons about a French skunk who raped female cats which was totally fine because he…"
57,Tello Cerquin,"RT @SCristalSh: Mis cats, había visto en algún twitt que alguien que trabaja en ADIDAS te podía conseguir la camiseta roja con descuento, s…"
58,Asgeir Havamal 🇺🇦,RT @RobertN58520057: .@ggholic .@Jaemyung_Lee .@vpecresse .@iledefrance Tell Friendship Region #Gyeonggi Province #SouthKorea that you are…
59,Jade,"nice to know a lot of my fb friends love cats too… pero bwas na ko mag reply sainyo, is beri kapoy na adlaw gid."
60,Engr. Momooolicious,RT @keepstrugglin_: min yoongi proving that cats always land on their feet.
61,Animal lover,"RT @officia86839977: 伊勢市から来た子猫たちジオラマで遊びました💕
全編👇
https://t.co/b2lOWYeLdP

#cats
#保護猫
#猫を捨てないで
#ジオラマ食堂 https://t.co/XIZpttit0z"
62,csofie,"RT @sachikoko: 🙏🏽PLZ SHARE
💝SWEET 9YO #SENIOR BROWN #TABBY &amp; WHITE KITTY ""OZYMANDIAS""💝
😿💔WAITING SINCE 2015 4 A CAT SAVVY #FUREVERHOME🏡
▶4…"
63,Spaz Cat,RT @LOL_cats: Top 20 Cat Memes of The Week - Cheezburger Users Edition #241 #LOLcat #cats #LOLcats #cat https://t.co/qDuPI9Wedf
64,Spiritual Teachings,There's A New Trend Going On And It's As Weird As It Sounds: Cat Mullets https://t.co/2JeLz57v42
65,Nuke the Nuclear Kitty,@weirdlilguys PLEASE REMEMBER TO ORIENT YOUR CATS CORRECTLY WHEN YOU INITIALLY SET THEM UP
66,‎ً,RT @MongoSlade64: @therecount Really?  I remember a cross dressing Bugs Bunny trying to seduce Elmer Fuud. And Pepe LePew was out there doi…
67,GawaNinja.eth,"RT @mfhornjr: Lots of clones… only 3,000 Gutter Cats @GutterCatGang"
68,Niqueja.eth | ⛩,"@thefinecats OMG CATS!!! i'm a simple person, i see cats i follow. 

@thekeenspartan @da_f3nix @suaysoul"
69,Crypto Google,"RT @Taylorcrypto_: Cats is always the original catcoin, just as dog is always Doge.
Tg:https://t.co/cE9lRGiDqV
Web:https://t.co/6HSt8ocoo4…"
70,CoinTiger,"RT @CoinTigerEX: 🌈#CoinTigerCampaign #GroupDepositCampaign

💥Group Deposit Campaign, Share $5,000 worth of tokens! 

✳️Limited token: #IREN…"
71,🌐⚖️🥑🇺🇦 Hello Bluebird 🌎 AKA @danteusainferno,"@0FrancisFurter0 @ODCSResister @elonmusk I can see where this is going . A white rabbit hole. 😂 

The whole thing abt white cats is that they’re not capable of seeing their white privilege 😂. So  … 🤷‍♂️"
72,IN Belur 🇮🇳,"RT @borahornae: So my cats were fighting and I did this-
😂

#MINYOONGI #JIMINJIMIN #Jiminie #YOONGI #SUGA @BTS_twt https://t.co/i5XFnUacXR"
73,mika ✘ ⁷,RT @keepstrugglin_: min yoongi proving that cats always land on their feet.
74,Crypto Google,RT @CATCOIN_CATS: @elonmusk @Cbiggs90 @Tesla @Teslarati @JaneidyEve Dogs and cats in the cryptocurrency market can be recognized at a glanc…
75,fit🔗💚🫂☯️BEOMIES🔥,"RT @WANGJYIEN_: Jaebeom and his love for cats 🥹 

(when got7 was in Amsterdam) https://t.co/r5ZN3mTlVo"
76,Lord Volkswagen Phaeton 🇺🇦,RT @lavenderdropz: help us and our 3 cats https://t.co/o6hduEQICR
77,.☁️,"RT @Geovohm: ""Spending time watching cats brightens your day!""
                      ~ Geo 🐾🐾 https://t.co/wr1iCS0HLX"
78,Stuart SJWR,RT @francesandfam: 8 months ago I brought Frances inside. 2 days later she gave birth. I never thought I could ever love anything as much a…
79,Crypto Hodler,"@WhaleEverything $CATS the next #SHIB 
#CatCoin #CatCoinBSC #CatCoinArmy 
#Memecoin #CryptoGems #BSCGems 
https://t.co/XDvJHwtwuO"
80,いさ,"RT @apshanada111: 🆘飼い主の事情による持ち込み超高齢猫🆘
🆘掲載期限：2022年05月02日 まで🆘
🆘里親募集♂去勢済🆘

岩国健康福祉センター収容
募集対象地域 :島根県 | 岡山県 | 広島県 | 山口県 |福岡県
掲載者k.a.k.o.tさん
http…"
81,puisisehari | Open Commission,"@CatTikToks Cats are so adorable, ❤❤
Follow my IG @/puisisehari https://t.co/M6dJioIDRZ"
82,島田貴子,RT @mamachan_chibi: 挟まれちゃった　#猫好き　#可愛い　#猫好きさんと繋がりたい　#cats https://t.co/Jhaw0sKZeX
83,Jenri🤡,RT @grillmytuna: 80's kuroken where Kuroo is absolutely obsessed with his new camera that Kenma got him for christmas and keeps shoving it…
84,Pedro Martínez,"RT @GhatoVerde: #wanda, sus pequeñas y su adoptado Tenshi siguen buscando hogares 
Buscamos adoptantes en #Sevilla o cerca para que no teng…"
85,Kazhan {S7W},"RT @WiseCatsNFT: @DeGodsNFT bought a @thebig3 team…

@SHAQ owns @Astrals_NFT …

@elonmusk bought @Twitter 

2022 is wild… what should Wise…"
86,Dee Ani,"RT @sachikoko: 🆘PLZ SHARE🆘
🧡HANDSOME 10YO #SENIOR ORANGE TABBY ""JACK""🧡
📢NEEDS A PATIENT, CAT SAVVY 🏡#FUREVERHOME🏡
▶4 INFO https://t.co/srGI…"
87,kravljim,"RT @SmellyCats_Nft: ⛩ JBAS x Smelly Cats Collab Giveaway!😻

We are dropping: 
- 5 WL spots at Smelly Cats🧧
- 5 WL spots at JBAS🌸

To enter:…"
88,Dina & Rofyda Shelter,"RT @ILoveanimalstoo: 🐱🐶🍗🍞🐾 Dear friends,our #food_stock is almost #ran_out 🙀 , we have activated the #Emergency program by reducing meals n…"
89,Narin,RT @BabyCatcoinBSC: Baby Cats looking quite nice on @TrustWallet today 🟢🟢🟢🟢🟢green wall activated 🟢🟢🟢🟢🟢  #Babycatarmy #babycatcoin #babycats…
90,Crypto Hodler,"@kellershiller $CATS the next #SHIB 
#CatCoin #CatCoinBSC #CatCoinArmy 
#Memecoin #CryptoGems #BSCGems 
https://t.co/XDvJHwtwuO"
91,Mindaugas,"RT @elonmusk: @Cbiggs90 @Tesla @Teslarati @JaneidyEve The car knows that something is there, just doesn’t know that they’re horses yet, but…"
92,ItsKurozz,@catpicsdealer The cats got the janky ass hit box
93,ᴮᴱᴱ 💙,RT @elle_moonchild7: I’ve seen 500 ‘cats always land on their feet’ tweets already and I will like every single one https://t.co/JLc4QLVoCX
94,That's Mee!,"RT @DrDabblur: Catwoman - ""Pussy Lips""

Sometimes, Selina lets the cats out of the bag to incentivize a larger cut.

Commissioned by Violet…"
95,Spaz Cat,"RT @MeowMoeDotCom: Just the prettiest toasted loaf
 
#Cats #Cat #Kittens #Kitten #Kitty #Pets #Pet #Meow #Moe #CuteCats #CuteCat #CuteKitte…"
96,💕hag for all seasons💕,when youre giving treats and catnip to street cats while youre also high *paul dano riddler face*
97,jonheaven.eth,"RT @vidpetnft: With every single day passing, these little pixelated cats are becoming more and more iconic. MoonCats 🤝 Time @mooncatrescue…"
98,ねこの凛ちゃん🐈なのちゃん🐈‍⬛,"#猫の居る暮らし #猫のいる暮らし #ねこ ＃cats ＃CatsOfTwitter ＃catlovers ＃もふもふ ＃ほっこり ＃可愛い猫 ＃香箱座り ＃スコティッシュフォールド ＃凛ちゃんです #CatsOnTwitter 

斜め香箱座りの

　　　凛ちゃんです🌸 https://t.co/ozTXk59wGW"
99,Anil Gurcan 🚴🚄 ♻,@torturedlilith Cats are dope! https://t.co/7ae1qCyGUG
